project_id	display_name	source_type	original_url	original_url_status	original_author	upstream_repository	upstream_path	archive_name	original_local_path	content_hash	framework	runtime	package_manager	license	license_status	source_in_public_repo	github_project_path	vercel_project_name	preview_url	production_url	functional_status	last_verified_at	desktop_screenshot	mobile_screenshot	compatibility_changes	known_limitations	related_projects	tags
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app	glasslab-frontend-projects-main-frontend-projects-main-task-manager-app	unknown		active	unknown			frontend-projects-main		d74d18dcfe604527228c2e7fa48ed186e34e812f5bc78694e25fab36e287a619	static-html	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app				library-skipped	2026-07-10T01:09:18.785488					[]	[]
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client	glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client	unknown		active	unknown			frontend-projects-main		b70a26a10a5bf6a5c3db5febbcfc5fb7a819533cb9cb60f74f97f94b47be0f25	react	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client				library-skipped	2026-07-10T01:09:18.785521	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client/initial.png	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client-public	glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client-public	unknown		active	unknown			frontend-projects-main		ccb5e745984276dff82a1b6c63bbc88b09da35113d7fa6455c7ff890391c7653	static-html	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client-public	glasslab-frontend-projects-main-fro-alpha		https://glasslab-frontend-projects-main-fro-alpha.vercel.app	verified-functional	2026-07-10T01:09:18.785671	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client-public/initial.png	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client-public/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-liquid-glass-vue	glasslab-frontend-projects-main-frontend-projects-main-liquid-glass-vue	unknown		active	unknown			frontend-projects-main		95af541f776c153512f91609f3517b5408347c35f50d27f5a1f7ba79ae1f75f5	vue	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-liquid-glass-vue				broken-local-build	2026-07-10T01:09:18.785690					[]	[]
glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app	glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app	unknown		active	unknown			frontend-projects-main		1354ddbf53753b71a5fe4263f96d1f937b2b4bdbd0da08ad45703afd232f9b4f	react	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app				library-skipped	2026-07-10T01:09:18.785741	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app/initial.png	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app-public	glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app-public	unknown		active	unknown			frontend-projects-main		ab1e6112a660e7071a84449a7d530b2fc6e12590e372a0d1d3909ca0b06ea4b6	static-html	browser	npm	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app-public	glasslab-frontend-projects-main-fro-sigma		https://glasslab-frontend-projects-main-fro-sigma.vercel.app	verified-functional	2026-07-10T01:09:18.785886	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app-public/initial.png	reports/functional-verification/glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app-public/mobile.png			[]	[]
glasslab-frontend-projects-main-frontend-projects-main-movie-instantsearch	glasslab-frontend-projects-main-frontend-projects-main-movie-instantsearch	unknown		active	unknown			frontend-projects-main		e33f52e89e4555d5cd4b67b074e0eafd213e963797c621c1d45af6f5d7197903	react	browser	yarn	unknown	unknown	True	projects/glasslab-frontend-projects-main-frontend-projects-main-movie-instantsearch				broken-local-build	2026-07-10T01:09:18.785900					[]	[]
glasslab-liquid-glass-effect-liquid-glass-effect-src	glasslab-liquid-glass-effect-liquid-glass-effect-src	unknown		active	unknown			liquid-glass-effect		8fb9ee178bf19906239e265ba64726b88045ed256cea2c5c60be0e1d72b4e3c5	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-liquid-glass-effect-liquid-glass-effect-src	glasslab-liquid-glass-effect-liquid		https://glasslab-liquid-glass-effect-liquid.vercel.app	verified-functional	2026-07-10T01:09:18.786034	reports/functional-verification/glasslab-liquid-glass-effect-liquid-glass-effect-src/initial.png	reports/functional-verification/glasslab-liquid-glass-effect-liquid-glass-effect-src/mobile.png			[]	[]
glasslab-liquid-glass-menu-liquid-glass-menu-src	glasslab-liquid-glass-menu-liquid-glass-menu-src	unknown		active	unknown			liquid-glass-menu		09eed3ba8c8c7c1d8609ae5823cad0bb1fbec4fa04bad81ff7e9989bd64c5b2c	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-liquid-glass-menu-liquid-glass-menu-src				broken-local-render	2026-07-10T01:09:18.786101	reports/functional-verification/glasslab-liquid-glass-menu-liquid-glass-menu-src/initial.png	reports/functional-verification/glasslab-liquid-glass-menu-liquid-glass-menu-src/mobile.png			[]	[]
glasslab-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-src	glasslab-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-src	unknown		active	unknown			press-starthot-wheels-aerial-pursuit-liquid-glass-navigation		97aba3e7555670cc45fc36202ff544885d9b9b311c7670746d1905cef6b6aa1c	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-src				broken-local-render	2026-07-10T01:09:18.786139	reports/functional-verification/glasslab-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-src/initial.png	reports/functional-verification/glasslab-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-src/mobile.png			[]	[]
glasslab-glass-like-css-1-glass-like-css-src	glasslab-glass-like-css-1-glass-like-css-src	unknown		active	unknown			glass-like-css-1		5b610dd1baf5c9861cd2f27b8178b0988c19edff6b3ca9fda7c67da81f9c84e3	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-glass-like-css-1-glass-like-css-src	glasslab-glass-like-css-1-glass-lik		https://glasslab-glass-like-css-1-glass-lik.vercel.app	verified-functional	2026-07-10T01:09:18.786254	reports/functional-verification/glasslab-glass-like-css-1-glass-like-css-src/initial.png	reports/functional-verification/glasslab-glass-like-css-1-glass-like-css-src/mobile.png			[]	[]
glasslab-liquid-glass-cubiq-liquid-glass-cubiq-src	glasslab-liquid-glass-cubiq-liquid-glass-cubiq-src	unknown		active	unknown			liquid-glass-cubiq		e3a44701b3eb06064a19790c9ea35fdf3cb44647c7745409cd0e57a65cfb0218	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-liquid-glass-cubiq-liquid-glass-cubiq-src	glasslab-liquid-glass-cubiq-liquid		https://glasslab-liquid-glass-cubiq-liquid.vercel.app	verified-functional	2026-07-10T01:09:18.786374	reports/functional-verification/glasslab-liquid-glass-cubiq-liquid-glass-cubiq-src/initial.png	reports/functional-verification/glasslab-liquid-glass-cubiq-liquid-glass-cubiq-src/mobile.png			[]	[]
glasslab-svg-liquid-glass-1-svg-liquid-glass-src	glasslab-svg-liquid-glass-1-svg-liquid-glass-src	unknown		active	unknown			svg-liquid-glass-1		0d631f76ba3959325ca5796de81cda922393313e1cc9225b4cf2ad3b549d1cfa	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-svg-liquid-glass-1-svg-liquid-glass-src	glasslab-svg-liquid-glass-1-svg-liq		https://glasslab-svg-liquid-glass-1-svg-liq.vercel.app	verified-functional	2026-07-10T01:09:18.786471	reports/functional-verification/glasslab-svg-liquid-glass-1-svg-liquid-glass-src/initial.png	reports/functional-verification/glasslab-svg-liquid-glass-1-svg-liquid-glass-src/mobile.png			[]	[]
glasslab-liquid-glass-6-liquid-glass-src	glasslab-liquid-glass-6-liquid-glass-src	unknown		active	unknown			liquid-glass-6		8c3482639ce7e19a684b9e5cfc53bcd5b6b03be7057bf49f9b5d7530eae8e9b9	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-liquid-glass-6-liquid-glass-src	glasslab-liquid-glass-6-liquid-glas		https://glasslab-liquid-glass-6-liquid-glas.vercel.app	verified-functional	2026-07-10T01:09:18.786585	reports/functional-verification/glasslab-liquid-glass-6-liquid-glass-src/initial.png	reports/functional-verification/glasslab-liquid-glass-6-liquid-glass-src/mobile.png			[]	[]
glasslab-ios-liquid-glass-ios-liquid-glass-src	glasslab-ios-liquid-glass-ios-liquid-glass-src	unknown		active	unknown			ios-liquid-glass		6659d1e6b8814143ec5abd8f9e2bdf02b8b303bb99fdb3ae25c49f5c29e6e9dc	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-ios-liquid-glass-ios-liquid-glass-src	glasslab-ios-liquid-glass-ios-liqui		https://glasslab-ios-liquid-glass-ios-liqui.vercel.app	verified-functional	2026-07-10T01:09:18.786704	reports/functional-verification/glasslab-ios-liquid-glass-ios-liquid-glass-src/initial.png	reports/functional-verification/glasslab-ios-liquid-glass-ios-liquid-glass-src/mobile.png			[]	[]
glasslab-apple-liquid-glass-ui-2025-apple-liquid-glass-ui-2025-src	glasslab-apple-liquid-glass-ui-2025-apple-liquid-glass-ui-2025-src	unknown		active	unknown			apple-liquid-glass-ui-2025		2bfa0c8993656269cbc466787bea2aac2dfefd46058bde322ac177aaa0685353	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-apple-liquid-glass-ui-2025-apple-liquid-glass-ui-2025-src	glasslab-apple-liquid-glass-ui-2025		https://glasslab-apple-liquid-glass-ui-2025.vercel.app	verified-functional	2026-07-10T01:09:18.786829	reports/functional-verification/glasslab-apple-liquid-glass-ui-2025-apple-liquid-glass-ui-2025-src/initial.png	reports/functional-verification/glasslab-apple-liquid-glass-ui-2025-apple-liquid-glass-ui-2025-src/mobile.png			[]	[]
glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-1-pure-css-glassmorphism-liquid-glass-ui-kit-src	glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-1-pure-css-glassmorphism-liquid-glass-ui-kit-src	unknown		active	unknown			pure-css-glassmorphism-liquid-glass-ui-kit-1		35b8f4e01dc93d7b727744322bab591e2ca41d8c73e09a87eadd519acd970bdc	html-fragment	browser	npm	unknown	unknown	True	projects/glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-1-pure-css-glassmorphism-liquid-glass-ui-kit-src	glasslab-pure-css-glassmorphism-liq		https://glasslab-pure-css-glassmorphism-liq.vercel.app	verified-functional	2026-07-10T01:09:18.786957	reports/functional-verification/glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-1-pure-css-glassmorphism-liquid-glass-ui-kit-src/initial.png	reports/functional-verification/glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-1-pure-css-glassmorphism-liquid-glass-ui-kit-src/mobile.png			[]	[]
