project_id	vercel_project_name	github_repository	github_root_directory	deployment_method	production_url	last_deployment	functional_status	last_verified_at	notes
glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src	glasslab-apple-liquid-glass-from-lu	lekandigital/glass-projects-lab	projects/glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src	CLI	https://glasslab-apple-liquid-glass-from-lu.vercel.app	2026-07-10T01:09:18.784290	verified-functional	2026-07-10T01:09:18.784290	
glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src	glasslab-liquid-glass-scroll-drag-c	lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src	CLI	https://glasslab-liquid-glass-scroll-drag-c.vercel.app	2026-07-10T01:09:18.784417	verified-functional	2026-07-10T01:09:18.784417	
glasslab-liquidgl-main-liquidgl-main	glasslab-liquidgl-main-liquidgl-mai	lekandigital/glass-projects-lab	projects/glasslab-liquidgl-main-liquidgl-main	CLI	https://glasslab-liquidgl-main-liquidgl-mai.vercel.app	2026-07-10T01:09:18.784545	broken-production-render	2026-07-10T01:09:18.784545	
glasslab-frontend-projects-main-frontend-projects-main-tictactoe-vanilla	glasslab-frontend-projects-main-fro	lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-tictactoe-vanilla	CLI	https://glasslab-frontend-projects-main-fro.vercel.app	2026-07-10T01:09:18.784706	verified-functional	2026-07-10T01:09:18.784706	
glasslab-frontend-projects-main-frontend-projects-main-css-if-function	glasslab-frontend-projects-main-fro-nine	lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-css-if-function	CLI	https://glasslab-frontend-projects-main-fro-nine.vercel.app	2026-07-10T01:09:18.784863	verified-functional	2026-07-10T01:09:18.784863	
glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-custom-storefront		lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-custom-storefront	CLI		2026-07-10T01:09:18.784942	library-skipped	2026-07-10T01:09:18.784942	
glasslab-frontend-projects-main-frontend-projects-main-tictactoe		lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-tictactoe	CLI		2026-07-10T01:09:18.785004	library-skipped	2026-07-10T01:09:18.785004	
glasslab-frontend-projects-main-frontend-projects-main-tictactoe-public	glasslab-frontend-projects-main-fro-eight	lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-tictactoe-public	CLI	https://glasslab-frontend-projects-main-fro-eight.vercel.app	2026-07-10T01:09:18.785161	verified-functional	2026-07-10T01:09:18.785161	
glasslab-frontend-projects-main-frontend-projects-main-prime-vue-project	glasslab-frontend-projects-main-fro-ten	lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-prime-vue-project	CLI	https://glasslab-frontend-projects-main-fro-ten.vercel.app	2026-07-10T01:09:18.785323	verified-functional	2026-07-10T01:09:18.785323	
glasslab-frontend-projects-main-frontend-projects-main-vuetify-project	glasslab-frontend-projects-main-fro-beta	lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-vuetify-project	CLI	https://glasslab-frontend-projects-main-fro-beta.vercel.app	2026-07-10T01:09:18.785459	verified-functional	2026-07-10T01:09:18.785459	
glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-instantsearch		lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-instantsearch	CLI		2026-07-10T01:09:18.785479	broken-local-build	2026-07-10T01:09:18.785479	
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app		lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app	CLI		2026-07-10T01:09:18.785488	library-skipped	2026-07-10T01:09:18.785488	
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client		lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client	CLI		2026-07-10T01:09:18.785521	library-skipped	2026-07-10T01:09:18.785521	
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client-public	glasslab-frontend-projects-main-fro-alpha	lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client-public	CLI	https://glasslab-frontend-projects-main-fro-alpha.vercel.app	2026-07-10T01:09:18.785671	verified-functional	2026-07-10T01:09:18.785671	
glasslab-frontend-projects-main-frontend-projects-main-liquid-glass-vue		lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-liquid-glass-vue	CLI		2026-07-10T01:09:18.785690	broken-local-build	2026-07-10T01:09:18.785690	
glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app		lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app	CLI		2026-07-10T01:09:18.785741	library-skipped	2026-07-10T01:09:18.785741	
glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app-public	glasslab-frontend-projects-main-fro-sigma	lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app-public	CLI	https://glasslab-frontend-projects-main-fro-sigma.vercel.app	2026-07-10T01:09:18.785886	verified-functional	2026-07-10T01:09:18.785886	
glasslab-frontend-projects-main-frontend-projects-main-movie-instantsearch		lekandigital/glass-projects-lab	projects/glasslab-frontend-projects-main-frontend-projects-main-movie-instantsearch	CLI		2026-07-10T01:09:18.785900	broken-local-build	2026-07-10T01:09:18.785900	
glasslab-liquid-glass-effect-liquid-glass-effect-src	glasslab-liquid-glass-effect-liquid	lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-effect-liquid-glass-effect-src	CLI	https://glasslab-liquid-glass-effect-liquid.vercel.app	2026-07-10T01:09:18.786034	verified-functional	2026-07-10T01:09:18.786034	
glasslab-liquid-glass-menu-liquid-glass-menu-src		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-menu-liquid-glass-menu-src	CLI		2026-07-10T01:09:18.786101	broken-local-render	2026-07-10T01:09:18.786101	
glasslab-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-src		lekandigital/glass-projects-lab	projects/glasslab-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-src	CLI		2026-07-10T01:09:18.786139	broken-local-render	2026-07-10T01:09:18.786139	
glasslab-glass-like-css-1-glass-like-css-src	glasslab-glass-like-css-1-glass-lik	lekandigital/glass-projects-lab	projects/glasslab-glass-like-css-1-glass-like-css-src	CLI	https://glasslab-glass-like-css-1-glass-lik.vercel.app	2026-07-10T01:09:18.786254	verified-functional	2026-07-10T01:09:18.786254	
glasslab-liquid-glass-cubiq-liquid-glass-cubiq-src	glasslab-liquid-glass-cubiq-liquid	lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-cubiq-liquid-glass-cubiq-src	CLI	https://glasslab-liquid-glass-cubiq-liquid.vercel.app	2026-07-10T01:09:18.786374	verified-functional	2026-07-10T01:09:18.786374	
glasslab-svg-liquid-glass-1-svg-liquid-glass-src	glasslab-svg-liquid-glass-1-svg-liq	lekandigital/glass-projects-lab	projects/glasslab-svg-liquid-glass-1-svg-liquid-glass-src	CLI	https://glasslab-svg-liquid-glass-1-svg-liq.vercel.app	2026-07-10T01:09:18.786471	verified-functional	2026-07-10T01:09:18.786471	
glasslab-liquid-glass-6-liquid-glass-src	glasslab-liquid-glass-6-liquid-glas	lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-6-liquid-glass-src	CLI	https://glasslab-liquid-glass-6-liquid-glas.vercel.app	2026-07-10T01:09:18.786585	verified-functional	2026-07-10T01:09:18.786585	
glasslab-ios-liquid-glass-ios-liquid-glass-src	glasslab-ios-liquid-glass-ios-liqui	lekandigital/glass-projects-lab	projects/glasslab-ios-liquid-glass-ios-liquid-glass-src	CLI	https://glasslab-ios-liquid-glass-ios-liqui.vercel.app	2026-07-10T01:09:18.786704	verified-functional	2026-07-10T01:09:18.786704	
glasslab-apple-liquid-glass-ui-2025-apple-liquid-glass-ui-2025-src	glasslab-apple-liquid-glass-ui-2025	lekandigital/glass-projects-lab	projects/glasslab-apple-liquid-glass-ui-2025-apple-liquid-glass-ui-2025-src	CLI	https://glasslab-apple-liquid-glass-ui-2025.vercel.app	2026-07-10T01:09:18.786829	verified-functional	2026-07-10T01:09:18.786829	
glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-1-pure-css-glassmorphism-liquid-glass-ui-kit-src	glasslab-pure-css-glassmorphism-liq	lekandigital/glass-projects-lab	projects/glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-1-pure-css-glassmorphism-liquid-glass-ui-kit-src	CLI	https://glasslab-pure-css-glassmorphism-liq.vercel.app	2026-07-10T01:09:18.786957	verified-functional	2026-07-10T01:09:18.786957	
glasslab-select-dropdown-with-appearance-base-select-liquid-glass-1-select-dropdown-with-appearance-base-select-liquid-glass-src		lekandigital/glass-projects-lab	projects/glasslab-select-dropdown-with-appearance-base-select-liquid-glass-1-select-dropdown-with-appearance-base-select-liquid-glass-src	CLI		2026-07-10T01:09:18.786994	broken-local-render	2026-07-10T01:09:18.786994	
glasslab-liquid-dom-master-1-liquid-dom-master		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master	CLI		2026-07-10T01:09:18.787006	library-skipped	2026-07-10T01:09:18.787006	
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-react		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-react	CLI		2026-07-10T01:09:18.787015	broken-local-render	2026-07-10T01:09:18.787015	
glasslab-liquid-dom-master-1-liquid-dom-master-demo-minimal		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-minimal	CLI		2026-07-10T01:09:18.787024	broken-local-render	2026-07-10T01:09:18.787024	
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-three	CLI		2026-07-10T01:09:18.787036	broken-local-render	2026-07-10T01:09:18.787036	
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-layout		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-layout	CLI		2026-07-10T01:09:18.787046	broken-local-render	2026-07-10T01:09:18.787046	
glasslab-liquid-dom-master-1-liquid-dom-master-demo-showcase		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-showcase	CLI		2026-07-10T01:09:18.787054	broken-local-render	2026-07-10T01:09:18.787054	
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-r3f		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-r3f	CLI		2026-07-10T01:09:18.787062	broken-local-render	2026-07-10T01:09:18.787062	
glasslab-liquid-dom-master-1-liquid-dom-master-demo-blending		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-blending	CLI		2026-07-10T01:09:18.787069	broken-local-render	2026-07-10T01:09:18.787069	
glasslab-liquid-dom-master-1-liquid-dom-master-packages-core		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-core	CLI		2026-07-10T01:09:18.787078	library-skipped	2026-07-10T01:09:18.787078	
glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout	CLI		2026-07-10T01:09:18.787085	library-skipped	2026-07-10T01:09:18.787085	
glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout-playground		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout-playground	CLI		2026-07-10T01:09:18.787210	broken-local-render	2026-07-10T01:09:18.787210	
glasslab-liquid-dom-master-1-liquid-dom-master-packages-r3f		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-r3f	CLI		2026-07-10T01:09:18.787225	library-skipped	2026-07-10T01:09:18.787225	
glasslab-liquid-dom-master-1-liquid-dom-master-packages-three		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-three	CLI		2026-07-10T01:09:18.787235	library-skipped	2026-07-10T01:09:18.787235	
glasslab-liquid-dom-master-1-liquid-dom-master-packages-react		lekandigital/glass-projects-lab	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-react	CLI		2026-07-10T01:09:18.787243	library-skipped	2026-07-10T01:09:18.787243	
glasslab-untitled-6-untitled-src		lekandigital/glass-projects-lab	projects/glasslab-untitled-6-untitled-src	CLI		2026-07-10T01:09:18.787282	pending	2026-07-10T01:09:18.787282	
glasslab-liquid-glass-js-main-liquid-glass-js-main		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-js-main-liquid-glass-js-main	CLI		2026-07-10T01:09:18.787413	broken-local-render	2026-07-10T01:09:18.787413	
glasslab-liquid-glass-components-1-liquid-glass-components-src		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-components-1-liquid-glass-components-src	CLI		2026-07-10T01:09:18.787519	broken-local-render	2026-07-10T01:09:18.787519	
glasslab-liquid-glass-tainwildcss-1-liquid-glass-tainwildcss-src		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-tainwildcss-1-liquid-glass-tainwildcss-src	CLI		2026-07-10T01:09:18.787639	pending	2026-07-10T01:09:18.787639	
glasslab-liquid-glass-fluid-movement-1-liquid-glass-fluid-movement-src		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-fluid-movement-1-liquid-glass-fluid-movement-src	CLI		2026-07-10T01:09:18.787785	pending	2026-07-10T01:09:18.787785	
glasslab-liquid-glass-react-master-liquid-glass-react-master		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-react-master-liquid-glass-react-master	CLI		2026-07-10T01:09:18.787926	pending	2026-07-10T01:09:18.787926	
glasslab-liquid-glass-react-master-liquid-glass-react-master-liquid-glass-example		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-react-master-liquid-glass-react-master-liquid-glass-example	CLI		2026-07-10T01:09:18.788049	pending	2026-07-10T01:09:18.788049	
glasslab-apple-liquid-glass-1-apple-liquid-glass-src		lekandigital/glass-projects-lab	projects/glasslab-apple-liquid-glass-1-apple-liquid-glass-src	CLI		2026-07-10T01:09:18.788162	pending	2026-07-10T01:09:18.788162	
glasslab-liquid-glass-shader-liquid-glass-shader-src		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-shader-liquid-glass-shader-src	CLI		2026-07-10T01:09:18.788293	pending	2026-07-10T01:09:18.788293	
glasslab-liquid-glass-5-liquid-glass-src		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-5-liquid-glass-src	CLI		2026-07-10T01:09:18.788437	broken-local-render	2026-07-10T01:09:18.788437	
glasslab-liquid-glass-2-liquid-glass-src		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-2-liquid-glass-src	CLI		2026-07-10T01:09:18.788585	pending	2026-07-10T01:09:18.788585	
glasslab-liquid-glass-switcher-css-1-liquid-glass-switcher-css-src		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-switcher-css-1-liquid-glass-switcher-css-src	CLI		2026-07-10T01:09:18.788724	pending	2026-07-10T01:09:18.788724	
glasslab-liquid-glass-4-liquid-glass-src		lekandigital/glass-projects-lab	projects/glasslab-liquid-glass-4-liquid-glass-src	CLI		2026-07-10T01:09:18.788862	pending	2026-07-10T01:09:18.788862	
glasslab-apple-liquid-glass-experiments-1-apple-liquid-glass-experiments-src		lekandigital/glass-projects-lab	projects/glasslab-apple-liquid-glass-experiments-1-apple-liquid-glass-experiments-src	CLI		2026-07-10T01:09:18.789003	pending	2026-07-10T01:09:18.789003	
glasslab-codepen-hdshy-rnravzr-liquid-glass-for-web	glasslab-codepen-hdshy-rnravzr	lekandigital/glass-projects-lab	metadata-only/glasslab-codepen-hdshy-rnravzr-liquid-glass-for-web	CLI	https://glasslab-codepen-hdshy-rnravzr.vercel.app	2026-07-10T01:09:18.789137	verified-functional	2026-07-10T01:09:18.789137	
glasslab-kube-liquid-glass-css-svg	glasslab-kube-liquid-glass-css-svg	lekandigital/glass-projects-lab	metadata-only/glasslab-kube-liquid-glass-css-svg	CLI	https://glasslab-kube-liquid-glass-css-svg.vercel.app	2026-07-10T01:09:18.789236	verified-functional-with-minor-warnings	2026-07-10T01:09:18.789236	
